Team,Points per Game,Rush-Yds Per Game,Pass-Yds Per Game,Opponent Yds Per Game,,,,,,,,,,
Cardinals,21.3,116.5,226.4,407.1,,,,,,,,,,
Falcons,20.6,68.5,317,379.5,,,,,,,,,,
Ravens,30.6,204.1,230.7,349.7,,,,,,,,,,
Bills,19.1,130.4,215.3,303.9,,,,,,,,,,
Panthers,25.6,129.6,205.9,350.3,,,,,,,,,,
Bears,18.3,83.1,198.3,316.6,,,,,,,,,,
Bengals,15.5,59.5,257.8,435.8,,,,,,,,,,
Browns,19,125.4,219.9,365.4,,,,,,,,,,
Cowboys,27.1,146,291.9,324.9,,,,,,,,,,
Broncos,15.6,110,202.6,304.5,,,,,,,,,,
Lions,25.7,96.9,282.7,420.4,,,,,,,,,,
Packers,26.9,101.6,271.9,375.5,,,,,,,,,,
Texans,26.5,133.6,261.4,362.1,,,,,,,,,,
Colts,22.6,128.4,217.4,349.4,,,,,,,,,,
Jaguars,21.6,136.5,243.3,342.5,,,,,,,,,,
Chiefs,28.3,83,309.5,377,,,,,,,,,,
Chargers,19.6,69.5,281.1,340.1,,,,,,,,,,
Rams,26.8,97.3,287.3,338.3,,,,,,,,,,
Raiders,21.6,131.4,240.4,378.1,,,,,,,,,,
Dolphins,10.5,65.7,188.9,414,,,,,,,,,,
Vikings,26.4,160.1,236.4,313.9,,,,,,,,,,
Patriots,31.3,95.3,274.6,234,,,,,,,,,,
Saints,24.4,114.3,261,316.5,,,,,,,,,,
Giants,19.8,102.4,231.4,386.8,,,,,,,,,,
Jets,11.1,63.9,145.7,357.4,,,,,,,,,,
Eagles,25.3,125,218.8,346.6,,,,,,,,,,
Steelers,20.5,88.1,205.1,336.6,,,,,,,,,,
49ers,29.6,181.1,206.1,224.4,,,,,,,,,,
Seahawks,26,130,252.9,376.4,,,,,,,,,,
Buccaneers,28,99.3,271.4,354.4,,,,,,,,,,
Titans,18.5,98.3,200.8,335.6,,,,,,,,,,
Commanders,12.4,84.8,176.4,378.4,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
