Team,Points per Game,Rush-Yds Per Game,Pass-Yds Per Game,Opponent Yds Per Game,,,,,,,,,,,,,
Cardinals,29,160.7,258.4,378.4,,,,,,,,,,,,,
Falcons,26.1,108.6,292.4,410.6,,,,,,,,,,,,,
Ravens,29,178.7,179.9,322.9,,,,,,,,,,,,,
Bills,24.8,108.6,263.4,358.1,,,,,,,,,,,,,
Panthers,22.4,110.6,250.4,357.4,,,,,,,,,,,,,
Bears,20.1,85.6,225,348.5,,,,,,,,,,,,,
Bengals,24.3,101.3,260.6,400.9,,,,,,,,,,,,,
Browns,25.8,150,196.8,371.4,,,,,,,,,,,,,
Cowboys,23.1,105.8,293.1,384.9,,,,,,,,,,,,,
Broncos,21,112.9,214,360,,,,,,,,,,,,,
Lions,25.3,97.1,253,378.4,,,,,,,,,,,,,
Packers,31.3,128.9,265.7,346.6,,,,,,,,,,,,,
Texans,23.7,84.9,282.7,417.6,,,,,,,,,,,,,
Colts,28.3,101,262.6,293.4,,,,,,,,,,,,,
Jaguars,22,96.6,246.4,424.4,,,,,,,,,,,,,
Chiefs,31.6,124.1,286.4,344,,,,,,,,,,,,,
Chargers,25.6,136.7,280.4,364,,,,,,,,,,,,,
Rams,24.1,137.8,258.6,291.9,,,,,,,,,,,,,
Raiders,26.7,127,252,377.9,,,,,,,,,,,,,
Dolphins,26.9,98,226.4,376,,,,,,,,,,,,,
Vikings,26.1,144,223,411.7,,,,,,,,,,,,,
Patriots,19.4,159.7,192,357.3,,,,,,,,,,,,,
Saints,29.4,119.3,266.6,328.4,,,,,,,,,,,,,
Giants,18.1,98.5,193.3,354.8,,,,,,,,,,,,,
Jets,11.8,103.1,155.9,398.9,,,,,,,,,,,,,
Eagles,23.3,118.6,211.4,340.1,,,,,,,,,,,,,
Steelers,30.1,118,221,310.7,,,,,,,,,,,,,
49ers,26,127,251.6,314.6,,,,,,,,,,,,,
Seahawks,34.3,125.4,289,460.9,,,,,,,,,,,,,
Buccaneers,30.9,102.6,265.8,299.5,,,,,,,,,,,,,
Titans,29.7,155.6,251.4,396.9,,,,,,,,,,,,,
Commanders,19,100.1,192.6,309.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
