Team,Points per Game,Rush-Yds Per Game,Pass-Yds Per Game,Opponent Yds Per Game,,,,,,,,,,,,,,,
Cardinals,30.8,128.8,219.8,319,,,,,,,,,,,,,,,
Falcons,21.1,87,155.7,358.3,,,,,,,,,,,,,,,
Ravens,26.7,149.4,192.4,382.3,,,,,,,,,,,,,,,
Bills,32.7,126.6,274.5,269,,,,,,,,,,,,,,,
Panthers,20.6,114.5,174.6,295.6,,,,,,,,,,,,,,,
Bears,15.4,136.6,140.6,357.5,,,,,,,,,,,,,,,
Bengals,27.5,98.6,271.5,361.3,,,,,,,,,,,,,,,
Browns,22.9,161.1,214.8,304.9,,,,,,,,,,,,,,,
Cowboys,32.1,152,210,366.4,,,,,,,,,,,,,,,
Broncos,19.6,103.6,212.3,325.8,,,,,,,,,,,,,,,
Lions,16.8,93.1,242.1,378.9,,,,,,,,,,,,,,,
Packers,24,108.1,220.2,331.8,,,,,,,,,,,,,,,
Texans,14.9,76.1,191.4,401.4,,,,,,,,,,,,,,,
Colts,25,122,217.8,352.4,,,,,,,,,,,,,,,
Jaguars,17.6,116.1,224.3,386,,,,,,,,,,,,,,,
Chiefs,26,116.8,306.5,391.5,,,,,,,,,,,,,,,
Chargers,24.6,104.4,266.5,362.6,,,,,,,,,,,,,,,
Rams,30.6,104.1,195.8,367.5,,,,,,,,,,,,,,,
Raiders,25.7,85.4,241.5,354,,,,,,,,,,,,,,,
Dolphins,17.3,78.6,290.5,406.9,,,,,,,,,,,,,,,
Vikings,23.3,124,234.1,367,,,,,,,,,,,,,,,
Patriots,25.8,101.1,214,352.9,,,,,,,,,,,,,,,
Saints,25.1,125,233.9,344.3,,,,,,,,,,,,,,,
Giants,19.5,89.3,180.4,368.6,,,,,,,,,,,,,,,
Jets,16.3,75.6,224.1,390.4,,,,,,,,,,,,,,,
Eagles,25.4,131.6,233.7,344.1,,,,,,,,,,,,,,,
Steelers,18.9,86,199.3,345.7,,,,,,,,,,,,,,,
49ers,24,123.7,233.8,324,,,,,,,,,,,,,,,
Seahawks,22.6,102.9,244.4,401.5,,,,,,,,,,,,,,,
Buccaneers,32.5,95.6,266.8,335.8,,,,,,,,,,,,,,,
Titans,28.4,147.6,171.4,368.1,,,,,,,,,,,,,,,
Commanders,19.5,118.1,207.1,389.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
